DataHora,Alteracoes,Total_OK,Total_NOK,Total_Produzidas,Quantidade_Meta,SKU_Nome_Produto,Ordem_Producao,Broca_Errada,Confirma_Erro,Iniciar_IHM,Interromper_IHM
2026-03-25 08:26:53.080,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Ordem_Producao;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,0,0,0,0,0,,0,0,0,0
2026-03-25 08:26:53.626,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,2570,2570,2570,2570,168430090,,1,1,1,1
2026-03-25 08:26:55.827,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,5140,5140,5140,5140,336860180,,0,0,0,0
2026-03-25 08:26:58.483,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,7710,7710,7710,7710,505290270,,1,1,1,1
2026-03-25 08:27:01.151,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,10280,10280,10280,10280,673720360,,0,0,0,0
2026-03-25 08:27:03.286,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,12850,12850,12850,12850,842150450,,1,1,1,1
2026-03-25 08:27:05.980,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,15420,15420,15420,15420,1010580540,,0,0,0,0
2026-03-25 08:27:08.658,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,17990,17990,17990,17990,1179010630,,1,1,1,1
2026-03-25 08:27:10.811,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,20560,20560,20560,20560,1347440720,,0,0,0,0
2026-03-25 08:27:13.411,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,23130,23130,23130,23130,1515870810,,1,1,1,1
2026-03-25 08:27:16.014,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,25700,25700,25700,25700,1684300900,,0,0,0,0
2026-03-25 08:27:18.653,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,28270,28270,28270,28270,1852730990,,1,1,1,1
2026-03-25 08:27:21.277,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,30840,30840,30840,30840,2021161080,,0,0,0,0
2026-03-25 08:27:23.385,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,33410,33410,33410,33410,2189591170,,1,1,1,1
2026-03-25 08:27:26.049,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,35980,35980,35980,35980,2358021260,,0,0,0,0
2026-03-25 08:27:28.698,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,38550,38550,38550,38550,2526451350,,1,1,1,1
2026-03-25 08:27:30.821,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,41120,41120,41120,41120,2694881440,,0,0,0,0
2026-03-25 08:27:33.457,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,43690,43690,43690,43690,2863311530,,1,1,1,1
2026-03-25 08:27:36.081,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,46260,46260,46260,46260,3031741620,,0,0,0,0
2026-03-25 08:27:38.716,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,48830,48830,48830,48830,3200171710,,1,1,1,1
2026-03-25 08:27:40.826,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,51400,51400,51400,51400,3368601800,,0,0,0,0
