DataHora,Alteracoes,Total_OK,Total_NOK,Total_Produzidas,Quantidade_Meta,SKU_Nome_Produto,Ordem_Producao,Broca_Errada,Confirma_Erro,Iniciar_IHM,Interromper_IHM
2026-03-16 13:43:22.565,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Ordem_Producao;Broca_Errada;Confirma_Erro;Iniciar_IHM;Interromper_IHM,38532,38532,38532,38532,2525271684,??,,,0,0
2026-03-16 13:43:24.719,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Iniciar_IHM;Interromper_IHM,41102,41102,41102,41102,2693701774,??,,,1,1
2026-03-16 13:43:27.384,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Iniciar_IHM;Interromper_IHM,43672,43672,43672,43672,2862131864,??,,,0,0
2026-03-16 13:43:29.525,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Iniciar_IHM;Interromper_IHM,46242,46242,46242,46242,3030561954,??,,,1,1
2026-03-16 13:43:32.141,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Iniciar_IHM;Interromper_IHM,48812,48812,48812,48812,3198992044,??,,,0,0
2026-03-16 13:43:34.723,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Iniciar_IHM;Interromper_IHM,51382,51382,51382,51382,3367422134,??,,,1,1
2026-03-16 13:43:37.348,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Iniciar_IHM;Interromper_IHM,53952,53952,53952,53952,3535852224,??,,,0,0
2026-03-16 13:43:39.432,Iniciar_IHM;Interromper_IHM,53952,53952,53952,53952,3535852224,??,,,1,1
2026-03-16 13:43:39.965,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto,56522,56522,56522,56522,3704282314,??,,,1,1
2026-03-16 13:43:42.119,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Iniciar_IHM;Interromper_IHM,59092,59092,59092,59092,3872712404,??,,,0,0
2026-03-16 13:43:44.773,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Iniciar_IHM;Interromper_IHM,61662,61662,61662,61662,4041142494,??,,,1,1
2026-03-16 13:43:47.342,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Iniciar_IHM;Interromper_IHM,64232,64232,64232,64232,4209572584,??,,,0,0
2026-03-16 13:43:49.931,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Ordem_Producao;Iniciar_IHM;Interromper_IHM,1266,1266,1266,1266,82969842,?,,,1,1
2026-03-16 13:43:52.028,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Ordem_Producao;Iniciar_IHM;Interromper_IHM,3836,3836,3836,3836,251399932,?,,,0,0
2026-03-16 13:43:54.688,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Ordem_Producao;Iniciar_IHM;Interromper_IHM,6406,6406,6406,6406,419830022,,,,1,1
2026-03-16 13:43:57.376,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Ordem_Producao;Iniciar_IHM;Interromper_IHM,8976,8976,8976,8976,588260112,#,,,0,0
2026-03-16 13:43:59.532,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Ordem_Producao;Iniciar_IHM;Interromper_IHM,11546,11546,11546,11546,756690202,-,,,1,1
2026-03-16 13:44:02.177,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Ordem_Producao;Iniciar_IHM;Interromper_IHM,14116,14116,14116,14116,925120292,7$,,,0,0
2026-03-16 13:44:04.837,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Ordem_Producao;Iniciar_IHM;Interromper_IHM,16686,16686,16686,16686,1093550382,A.,,,1,1
2026-03-16 13:44:06.993,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Ordem_Producao;Iniciar_IHM;Interromper_IHM,19256,19256,19256,19256,1261980472,K8,,,0,0
2026-03-16 13:44:09.664,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Ordem_Producao;Iniciar_IHM;Interromper_IHM,21826,21826,21826,21826,1430410562,UB,,,1,1
2026-03-16 13:44:12.327,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Ordem_Producao;Iniciar_IHM;Interromper_IHM,24396,24396,24396,24396,1598840652,_L,,,0,0
2026-03-16 13:44:14.465,Iniciar_IHM;Interromper_IHM,24396,24396,24396,24396,1598840652,_L,,,1,1
2026-03-16 13:44:14.998,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Ordem_Producao,26966,26966,26966,26966,1767270742,iV,,,1,1
2026-03-16 13:44:17.148,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Ordem_Producao;Iniciar_IHM;Interromper_IHM,29536,29536,29536,29536,1935700832,s`,,,0,0
2026-03-16 13:44:19.800,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Ordem_Producao;Iniciar_IHM;Interromper_IHM,32106,32106,32106,32106,2104130922,}j,,,1,1
2026-03-16 13:44:22.466,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Ordem_Producao;Iniciar_IHM;Interromper_IHM,34676,34676,34676,34676,2272561012,?t,,,0,0
2026-03-16 13:44:24.605,Total_OK;Total_NOK;Total_Produzidas;Quantidade_Meta;SKU_Nome_Produto;Ordem_Producao;Iniciar_IHM;Interromper_IHM,37246,37246,37246,37246,2440991102,?~,,,1,1
